appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
32900,Restaurant Empire II,2009-05-27,1,Enlight Software Limited,Enlight Software Limited,windows,0,Single-player,Casual;Indie;Simulation;Strategy,Simulation;Management;Casual,0,112,65,0,0,50000-100000,13.99
568130,Gum Guy,2017-01-03,1,Nickana Studio,Nickana Studio,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats,Action;Adventure;Indie,Action;Adventure;Indie,16,11,3,0,0,20000-50000,2.89
864920,Tap Cats: Battle Arena,2018-12-21,1,Classy Yak Game Studio,Screenzilla,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;In-App Purchases,Casual;Free to Play;Indie;RPG;Strategy;Early Access,Early Access;Free to Play;Strategy,0,16,9,4,4,0-20000,0.0
945700,Blackjack of Strip,2018-11-07,1,Lucky Games;S'Games,Lucky Games,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements,Casual;Indie;Massively Multiplayer;Early Access,Early Access;Indie;Casual,19,4,3,0,0,0-20000,2.09
400280,Lizard,2018-03-04,1,Brad Smith,Brad Smith,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Action;Adventure;Indie,20,17,2,0,0,0-20000,7.19
693990,STYLY,2017-09-28,1,"Psychic VR Lab Co., Ltd.","Psychic VR Lab Co., Ltd.",windows,0,Partial Controller Support,Design & Illustration;Early Access,Early Access;Design & Illustration;VR,0,4,0,0,0,0-20000,0.0
614100,Heroes of Paragon,2017-07-05,1,EVERYDAYiPLAY,Plug In Digital,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;In-App Purchases,Free to Play;Indie;Strategy,Free to Play;Strategy;Indie,0,43,45,0,0,50000-100000,0.0
835760,Cyber Fight,2018-04-12,1,Cosmicdev,Freshtrax,windows,0,Single-player,Adventure;Indie,Adventure;Indie,0,10,13,0,0,0-20000,0.79
281820,Explodemon,2014-03-25,1,Curve Studios,Curve Digital,windows,0,Single-player;Steam Achievements,Action;Adventure;Casual;Indie,Action;Indie;Casual,20,45,17,0,0,20000-50000,6.99
610090,Gnomelings: Migration,2017-06-12,1,Prismic Studios;Dano Kablamo,Prismic Studios,windows,0,Single-player;Partial Controller Support,Action;Casual;Simulation;Strategy;Early Access,Early Access;Casual;Action,0,6,1,0,0,0-20000,3.99
883970,Little Imps: A Dungeon Builder,2019-01-24,1,upjers,upjers,windows,0,Single-player;Online Co-op,Casual;Simulation;Strategy;Early Access,Early Access;Casual;Strategy,0,10,20,0,0,0-20000,9.29
555160,Pavlov VR,2017-02-27,1,davevillz,davevillz,windows,0,Multi-player;Online Multi-Player;Steam Workshop,Violent;Gore;Action;Indie;Early Access,Early Access;VR;Action,0,2952,355,362,479,200000-500000,6.99
454630,Button Frenzy,2016-07-08,1,zerofiftyone,zerofiftyone,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Casual;Indie,Indie;Casual;Score Attack,21,13,1,0,0,0-20000,3.99
511320,Echoes of the Fey: The Fox's Trail,2016-08-16,1,Woodsy Studio,Woodsy Studio,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Casual;Indie,Adventure;Visual Novel;Indie,28,12,1,0,0,0-20000,5.59
777560,INVISIBLE,2018-01-26,1,Tsukinowa App.,Tsukinowa App.,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Stats,Action;Indie,Action;Indie,17,8,8,0,0,0-20000,0.0
